,公司名稱,,,,,,,,,
客戶代號,簡稱,長名稱,統編,聯絡窗口,電話,送貨地址,發票抬頭,銷貨類別,建檔日期,E-mail
22000,大燈籠,22000 大燈籠,30366201,,(02)2226-1795┃0932-381-104,新北市中和區民享街4682號A棟,大燈籠商行,現金,2023/10/5,
52000,忠德,52000 忠德,,,(02)2759-6418,台北市信義區忠孝東路五段790巷59弄31號,,現金,2023/10/5,
5/000,陳姵伶,5/000 陳姵伶,,,(02)2976-3191┃0932-908-350,新北市三重區仁昌街76號,,月結,2023/10/5,
5J000,周文達(進昇),5J000 周文達(進昇),89236134,,09356-97-375┃(02)2997-9653,桃園市龜山區大崗里下湖街89巷65號,進昇有限公司,月結,2023/10/5,
5T000,朱陳旺,5T000 朱陳旺,,,0988-262-580,,,現金,2023/10/5,
5U000,政誼,5U000 政誼,23467555,,(02)2735-1395,台北市大安區和平東路三段228巷40號,政誼企業有限公司,現金,2023/10/5,
5V000,芳宜,5V000 芳宜,15549054,,(02)2643-4039┃0932-042-943,新北市汐止區汐平路二段66-2號第二倉間,芳宜企業社,月結,2023/10/5,
CF000,合群行,CF000 合群行,76662042,,(02)2462-9611┃(02)2463-1825,"基隆市中正區豐捻街59巷1號
(倉)深澳坑路12號",合群行,月結,2023/10/5,
CG001,駿閣,CG001 駿閣,89461639,Alice,(02)2698-0288,新北市汐止區新台五路一段81號7樓,駿閣企業股份有限公司,現金,2023/10/5,
CM000,華源,CM000 華源,77532321,,(02)2557-2272┃(02)2557-0358,台北市大同區歸綏街237號,華源商行,現金,2023/10/5,
CU001,合奕,CU001 合奕,,,(02)2437-2926┃0935-448-766,基隆市中山區復興路178號,,現金,2023/10/5,
CU006,和溢,CU006 和溢,02132436,,(02)8691-9105┃0920-730-086,新北市汐止區大同路二段511-2號,和溢行,現金,2023/10/5,
CV003,和興,CV003 和興,,,(02)2466-5774┃0922-807-975,基隆市信義區東明路117號,,現金,2023/10/5,
CW000,禾田,CW000 禾田,09979767,,(02)2986-3959┃(02)2988-2990,"新北市三重區力行路一段141號
(庫)三民街272巷27號",禾田商號,月結,2023/10/5,
CX000,紘霖,CX000 紘霖,16726129,,(02)22996-0992,新北市泰山區大科路433-8號,紘霖國際股份有限公司,月結,2023/10/5,
