貨號,產品名稱,報價單位,"件入數
(箱入數)",包入數,型號,規格,品牌,尺寸,產地
B50001,[ 竹筷 ] 5020 100X27,件,27 包,100 雙,,,,,CN
B50002,[ 竹筷 ] 5020 100X30,件,30 包,100 雙,,,,,CN
B50003,[ 竹筷 ] 5020 100X40,件,40 包,100 雙,,,,,CN
B50004,[ 竹筷 ] 5020 35X70,件,70 包,35 雙,,,,,CN
B50005,[ 竹筷 ] 5020 50X70,件,70 包,50 雙,,,,,CN
B50006,[ 竹筷 ] 5020 80X40,件,40 包,80 雙,,,,,CN
B50007,[ 竹筷 ] 5020 83X40,件,40 包,83 雙,,,,,CN
B50008,[ 竹筷 ] 5020 85X35,件,35 包,85 雙,,,,,CN
B50009,[ 竹筷 ] 5020 90X30,件,30 包,90 雙,,,,,CN
B50010,[ 竹筷 ] 5020 90X35,件,35 包,90 雙,,,,,CN
B50011,[ 竹筷 ] 5020 90X37,件,37 包,90 雙,,,,,CN
B50012,[ 竹筷 ] 5020 90X40,件,40 包,90 雙,,,,,CN
B50013,[ 竹筷 ] 5020 95X30,件,30 包,95 雙,,,,,CN
B50014,[ 竹筷 ] 5020 白身,件,1 件,,,,,,CN
B50015,[ 竹筷 ] 5020 80X30,件,30 包,80 雙,,,,,CN
B50016,[ 竹筷 ] 5020 80X35,件,35 包,80 雙,,,,,CN
B55001,[ 竹筷 ] 5520 100X25,件,25 包,100 雙,,,,,CN
B55002,[ 竹筷 ] 5520 100X27,件,27 包,100 雙,,,,,CN
B55003,[ 竹筷 ] 5520 100X30,件,30 包,70 雙,,,,,CN
B55004,[ 竹筷 ] 5520 70X30,件,30 件,75 雙,,,,,CN
B55005,[ 竹筷 ] 5520 75X25,件,25 包,75 雙,,,,,CN
B55006,[ 竹筷 ] 5520 75X30,件,30 包,80 雙,,,,,CN
B55007,[ 竹筷 ] 5520 80X25,件,25 包,80 雙,,,,,CN
B55008,[ 竹筷 ] 5520 80X30,件,30 包,80 雙,,,,,CN
B55009,[ 竹筷 ] 5520 80X35,件,35 包,80 雙,,,,,CN
B55010,[ 竹筷 ] 5520 80X40,件,40 包,80 雙,,,,,CN
B55011,[ 竹筷 ] 5520 85X30,件,30 包,80 雙,,,,,CN
B55012,[ 竹筷 ] 5520 88X25,件,25 包,88 雙,,,,,CN
B55013,[ 竹筷 ] 5520 88X26,件,26 包,88 雙,,,,,CN
B55014,[ 竹筷 ] 5520 90X24,件,24 包,90 雙,,,,,CN
B55015,[ 竹筷 ] 5520 90X25,件,25 包,90 雙,,,,,CN
B55016,[ 竹筷 ] 5520 90X30,件,30 包,90 雙,,,,,CN
B55017,[ 竹筷 ] 5520 白身,件,1 件,,,,,,CN
